Season,WTeamID,wins,LTeamID,losses,games,PointsFor,PointsAgainst,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGprct
2003,1138.0,5.0,1138.0,23.0,28.0,1815,2022,652,1622,151,517,360,536,380,634,354,406,180,58,636,0.40197287299630086
2003,1139.0,24.0,1139.0,5.0,29.0,1989,1767,698,1469,246,634,347,480,227,591,376,302,184,54,466,0.47515316541865216
2003,1140.0,23.0,1140.0,8.0,31.0,2246,1974,745,1589,192,500,564,749,337,757,416,426,215,78,664,0.46884833228445566
2003,1141.0,23.0,1141.0,6.0,29.0,2301,2124,772,1528,198,520,559,730,307,675,453,529,206,116,608,0.5052356020942408
2003,1142.0,15.0,1142.0,14.0,29.0,1958,1983,684,1611,186,586,404,564,334,678,361,459,202,111,564,0.4245810055865922
2003,1143.0,21.0,1143.0,8.0,29.0,2160,2023,793,1703,186,494,388,566,326,707,464,411,190,81,496,0.46564885496183206
2003,1144.0,4.0,1144.0,22.0,26.0,1691,2034,597,1354,163,466,334,478,204,516,377,416,161,71,431,0.44091580502215655
2003,1145.0,10.0,1145.0,18.0,28.0,1967,1992,739,1684,166,483,323,458,322,707,438,401,228,95,542,0.43883610451306415
2003,1147.0,10.0,1147.0,14.0,24.0,1743,1869,609,1345,104,326,421,547,265,444,289,386,195,89,490,0.4527881040892193
2003,1148.0,15.0,1148.0,13.0,28.0,1891,1879,684,1479,150,399,373,499,322,613,321,433,162,46,435,0.46247464503042596
2003,1149.0,12.0,1149.0,14.0,26.0,1682,1716,633,1432,100,359,316,424,280,553,324,381,254,83,500,0.4420391061452514
2003,1150.0,13.0,1150.0,16.0,29.0,1985,2027,691,1744,231,694,372,587,425,675,421,398,246,59,532,0.39621559633027525
2003,1151.0,19.0,1151.0,9.0,28.0,2235,2117,770,1608,209,567,486,640,353,646,453,461,200,89,520,0.47885572139303484
2003,1152.0,3.0,1152.0,27.0,30.0,1896,2249,706,1597,114,343,370,599,361,622,363,523,216,50,661,0.44207889793362554
2003,1153.0,17.0,1153.0,11.0,28.0,1885,1722,641,1587,187,546,416,603,340,655,344,297,145,119,531,0.4039067422810334
2003,1154.0,4.0,1154.0,20.0,24.0,1514,1713,523,1306,148,472,320,482,264,520,314,392,179,73,483,0.4004594180704441
2003,1155.0,15.0,1155.0,13.0,28.0,1916,1907,685,1551,135,389,411,626,376,628,351,377,199,74,535,0.44165054803352677
2003,1156.0,8.0,1156.0,22.0,30.0,1969,2196,687,1540,177,477,418,634,313,630,406,517,212,133,584,0.4461038961038961
2003,1157.0,11.0,1157.0,15.0,26.0,1749,1817,621,1429,153,415,354,483,347,575,318,438,162,41,551,0.4345696291112666
2003,1158.0,22.0,1158.0,7.0,29.0,2127,1991,734,1683,263,673,396,578,316,694,419,408,213,127,549,0.43612596553773025
2003,1159.0,12.0,1159.0,14.0,26.0,1713,1762,636,1467,171,485,270,392,275,569,363,372,179,44,498,0.4335378323108384
2003,1160.0,20.0,1160.0,11.0,31.0,2341,2172,843,1901,154,473,501,742,449,867,415,434,190,206,549,0.44345081536033665
2003,1161.0,17.0,1161.0,13.0,30.0,2220,2180,792,1563,126,347,510,728,324,704,465,484,160,127,617,0.5067178502879078
2003,1162.0,2.0,1162.0,25.0,27.0,1340,1676,457,1226,136,449,290,432,255,584,262,461,140,93,493,0.3727569331158238
2003,1163.0,21.0,1163.0,9.0,30.0,2401,2142,886,1866,182,471,447,663,443,837,469,474,178,232,552,0.47481243301178994
2003,1164.0,11.0,1164.0,17.0,28.0,1625,1726,590,1350,124,316,321,439,259,544,258,416,205,58,440,0.43703703703703706
2003,1165.0,8.0,1165.0,18.0,26.0,1558,1765,555,1306,162,483,286,449,242,576,336,402,190,55,477,0.42496171516079634
2003,1166.0,29.0,1166.0,4.0,33.0,2615,2123,947,1896,263,676,458,661,359,765,555,441,277,147,570,0.4994725738396624
2003,1168.0,10.0,1168.0,19.0,29.0,1825,1933,660,1502,138,399,367,566,350,561,339,384,172,44,522,0.4394141145139814
2003,1169.0,13.0,1169.0,15.0,28.0,1956,1958,681,1523,170,481,424,601,348,622,357,479,239,56,638,0.44714379514116875
2003,1170.0,11.0,1170.0,17.0,28.0,1832,2041,640,1559,161,521,391,582,304,617,363,458,235,82,599,0.41051956382296345
2003,1171.0,7.0,1171.0,19.0,26.0,1540,1675,532,1288,212,593,264,375,176,555,352,323,158,62,483,0.41304347826086957
2003,1172.0,14.0,1172.0,10.0,24.0,1836,1777,632,1402,220,563,352,455,284,681,384,453,135,39,489,0.4507845934379458
2003,1173.0,24.0,1173.0,5.0,29.0,2111,1923,710,1572,218,605,473,661,391,672,441,386,156,85,510,0.45165394402035625
2003,1174.0,15.0,1174.0,14.0,29.0,1990,1981,702,1719,202,598,384,544,320,707,407,389,231,108,554,0.4083769633507853
2003,1175.0,15.0,1175.0,12.0,27.0,1680,1690,592,1342,178,484,318,463,287,522,328,370,180,91,493,0.44113263785394935
2003,1176.0,17.0,1176.0,15.0,32.0,2268,2210,778,1909,249,720,463,636,409,776,460,426,229,54,613,0.4075432163436354
2003,1177.0,16.0,1177.0,12.0,28.0,1877,1798,654,1487,124,373,445,612,345,689,360,407,161,59,509,0.4398117014122394
2003,1178.0,17.0,1178.0,12.0,29.0,2058,1885,771,1603,131,378,385,547,316,647,388,347,186,74,556,0.4809731752963194
2003,1179.0,8.0,1179.0,20.0,28.0,1785,1946,609,1356,153,444,414,566,231,627,358,403,109,45,481,0.4491150442477876
2003,1180.0,18.0,1180.0,11.0,29.0,1990,1891,713,1656,185,538,379,563,320,708,427,394,213,134,529,0.4305555555555556
2003,1181.0,24.0,1181.0,6.0,30.0,2459,2112,821,1810,220,618,597,842,413,693,415,421,255,154,638,0.4535911602209945
2003,1182.0,9.0,1182.0,21.0,30.0,2001,2201,705,1585,170,464,421,611,326,665,377,568,201,108,584,0.444794952681388
2003,1183.0,13.0,1183.0,15.0,28.0,2162,2197,771,1733,189,499,431,564,339,640,452,363,179,57,550,0.4448932487016734
2003,1184.0,7.0,1184.0,17.0,24.0,1792,1935,642,1435,132,405,376,542,280,513,341,356,188,60,550,0.4473867595818815
2003,1185.0,12.0,1185.0,14.0,26.0,1998,2074,695,1508,125,410,483,750,329,632,383,395,157,82,566,0.4608753315649867
2003,1186.0,17.0,1186.0,12.0,29.0,2029,1922,693,1485,136,387,507,691,272,663,429,494,223,79,623,0.4666666666666667
2003,1187.0,10.0,1187.0,15.0,25.0,1575,1648,568,1404,106,394,333,482,321,619,298,320,119,91,433,0.4045584045584046
2003,1189.0,10.0,1189.0,15.0,25.0,1560,1711,573,1355,113,349,301,457,323,514,279,405,180,64,487,0.4228782287822878
2003,1190.0,17.0,1190.0,10.0,27.0,2152,2092,758,1658,141,410,495,670,378,649,379,506,289,142,527,0.4571773220747889
2003,1191.0,12.0,1191.0,16.0,28.0,1960,2063,670,1386,164,419,456,625,246,646,441,446,151,95,557,0.4834054834054834
2003,1192.0,15.0,1192.0,14.0,29.0,2106,2153,737,1685,246,699,386,548,292,617,407,423,174,68,558,0.4373887240356083
2003,1193.0,19.0,1193.0,11.0,30.0,2119,2082,721,1626,128,387,549,760,354,768,385,514,228,160,609,0.44341943419434193
2003,1194.0,6.0,1194.0,21.0,27.0,1865,2091,679,1729,175,522,332,497,388,582,330,449,245,94,630,0.39271255060728744
2003,1196.0,24.0,1196.0,7.0,31.0,2353,2005,835,1752,269,686,414,587,335,752,509,415,241,127,524,0.4765981735159817
2003,1197.0,17.0,1197.0,12.0,29.0,2073,2081,681,1581,240,618,471,696,390,709,326,507,210,61,577,0.4307400379506641
2003,1198.0,7.0,1198.0,21.0,28.0,1677,1819,596,1462,104,338,381,624,384,584,266,444,217,57,538,0.4076607387140903
2003,1199.0,14.0,1199.0,15.0,29.0,1974,1930,718,1662,186,559,352,524,308,696,404,432,274,130,549,0.43200962695547535
2003,1200.0,2.0,1200.0,26.0,28.0,1810,2188,648,1572,192,575,322,521,321,626,339,489,208,92,591,0.4122137404580153
2003,1201.0,20.0,1201.0,8.0,28.0,2006,1870,725,1617,183,516,373,528,376,681,413,442,184,124,557,0.4483611626468769
2003,1202.0,11.0,1202.0,17.0,28.0,1807,1924,654,1568,157,479,342,495,355,641,356,415,194,81,489,0.41709183673469385
2003,1203.0,12.0,1203.0,17.0,29.0,2070,2085,691,1576,172,506,516,764,400,660,385,474,187,92,595,0.4384517766497462
2003,1204.0,13.0,1204.0,13.0,26.0,1965,2021,720,1569,160,450,365,569,351,596,354,411,192,96,505,0.4588910133843212
2003,1205.0,4.0,1205.0,24.0,28.0,1882,2097,705,1784,223,745,249,356,351,721,432,461,189,83,516,0.3951793721973094
2003,1206.0,16.0,1206.0,12.0,28.0,1794,1694,638,1508,125,411,393,579,362,657,328,439,213,62,474,0.4230769230769231
2003,1207.0,15.0,1207.0,14.0,29.0,2213,2024,766,1782,136,415,545,743,407,740,450,462,275,183,644,0.4298540965207632
2003,1208.0,19.0,1208.0,8.0,27.0,2138,1976,770,1659,181,476,417,584,346,664,484,312,206,118,464,0.4641350210970464
2003,1209.0,13.0,1209.0,15.0,28.0,2050,2057,746,1646,171,511,387,545,322,621,372,407,213,138,480,0.4532199270959903
2003,1210.0,14.0,1210.0,14.0,28.0,2074,1949,757,1695,159,458,401,592,393,693,436,425,226,150,520,0.44660766961651915
2003,1211.0,23.0,1211.0,8.0,31.0,2389,2114,808,1719,222,591,551,764,370,785,488,451,211,109,578,0.4700407213496219
2003,1212.0,10.0,1212.0,18.0,28.0,1991,2259,739,1748,174,509,339,485,307,714,373,455,153,111,551,0.42276887871853547
2003,1214.0,19.0,1214.0,11.0,30.0,2144,2064,760,1674,178,554,446,675,380,704,439,531,253,111,679,0.4540023894862604
2003,1216.0,15.0,1216.0,13.0,28.0,1806,1805,653,1565,139,414,361,567,389,632,337,392,203,65,526,0.4172523961661342
2003,1217.0,11.0,1217.0,15.0,26.0,1836,1892,661,1546,202,546,312,460,336,645,401,440,194,62,530,0.42755498059508407
2003,1218.0,18.0,1218.0,11.0,29.0,2025,1936,723,1592,153,438,426,620,333,652,471,427,197,90,518,0.45414572864321606
2003,1219.0,7.0,1219.0,20.0,27.0,1850,2022,674,1519,146,438,356,549,323,580,321,437,200,54,493,0.4437129690585912
2003,1220.0,8.0,1220.0,21.0,29.0,1859,2048,679,1669,198,615,303,515,435,743,379,536,152,85,584,0.4068304373876573
2003,1221.0,25.0,1221.0,4.0,29.0,2011,1688,702,1529,154,428,453,642,350,705,447,404,231,130,533,0.4591236102027469
2003,1222.0,8.0,1222.0,20.0,28.0,1631,1854,596,1478,156,514,283,429,327,727,302,488,146,124,465,0.40324763193504737
2003,1224.0,13.0,1224.0,17.0,30.0,2196,2185,780,1796,180,517,456,663,425,613,335,456,240,83,576,0.43429844097995546
2003,1225.0,12.0,1225.0,15.0,27.0,1671,1716,596,1450,146,442,333,474,320,615,325,372,160,81,450,0.4110344827586207
2003,1226.0,13.0,1226.0,14.0,27.0,1906,1922,698,1575,148,437,362,562,304,609,385,404,217,92,537,0.44317460317460317
2003,1227.0,21.0,1227.0,8.0,29.0,2188,1999,808,1695,186,451,386,646,392,706,477,363,179,96,564,0.4766961651917404
2003,1228.0,24.0,1228.0,6.0,30.0,2263,1842,813,1674,223,605,414,573,292,762,548,395,210,93,574,0.48566308243727596
2003,1229.0,8.0,1229.0,21.0,29.0,1873,2035,687,1554,188,427,311,442,283,613,334,431,179,70,548,0.4420849420849421
2003,1231.0,20.0,1231.0,12.0,32.0,2257,2144,750,1758,241,692,516,724,359,820,442,368,142,171,578,0.42662116040955633
2003,1232.0,7.0,1232.0,24.0,31.0,1749,2038,644,1636,150,434,311,454,308,646,381,413,202,86,570,0.39364303178484106
2003,1233.0,17.0,1233.0,12.0,29.0,2174,2073,758,1645,166,453,492,687,323,702,477,445,238,126,591,0.460790273556231
2003,1234.0,15.0,1234.0,13.0,28.0,1947,1868,679,1516,134,467,455,634,317,701,405,421,186,112,496,0.4478891820580475
2003,1235.0,15.0,1235.0,13.0,28.0,1971,1868,737,1617,160,415,337,497,316,711,332,380,154,154,522,0.4557823129251701
2003,1236.0,9.0,1236.0,20.0,29.0,1977,2214,678,1592,199,595,422,602,266,675,393,460,232,88,567,0.4258793969849246
2003,1237.0,19.0,1237.0,13.0,32.0,2280,2253,782,1726,208,595,508,724,374,669,428,509,262,58,619,0.45307068366164543
2003,1238.0,10.0,1238.0,18.0,28.0,1972,2085,670,1625,182,555,450,658,285,657,367,451,277,71,622,0.4123076923076923
2003,1239.0,12.0,1239.0,16.0,28.0,1836,1956,671,1547,134,435,360,545,341,658,331,480,188,146,462,0.43374272786037493
2003,1240.0,19.0,1240.0,10.0,29.0,2175,2087,768,1697,225,601,414,611,362,618,441,430,277,76,615,0.4525633470830878
2003,1241.0,12.0,1241.0,17.0,29.0,1929,1996,695,1620,182,550,357,532,332,668,370,435,171,148,579,0.42901234567901236
2003,1242.0,23.0,1242.0,7.0,30.0,2440,1991,907,1869,144,424,482,724,429,807,502,447,304,147,501,0.48528624933119313
2003,1243.0,13.0,1243.0,17.0,30.0,2089,1985,766,1674,169,468,388,617,341,771,462,397,148,109,538,0.45758661887694146
2003,1245.0,20.0,1245.0,9.0,29.0,2222,2083,789,1619,215,537,429,602,308,688,408,374,189,55,585,0.4873378628783199
2003,1246.0,29.0,1246.0,3.0,32.0,2481,2051,911,1869,189,531,470,665,412,773,518,450,250,163,556,0.48742643124665597
2003,1247.0,12.0,1247.0,17.0,29.0,1981,2071,655,1650,183,551,488,668,378,655,331,416,184,60,612,0.396969696969697
2003,1248.0,11.0,1248.0,16.0,27.0,1785,1864,629,1419,185,520,342,483,255,636,361,379,140,103,435,0.44326990838618746
2003,1249.0,12.0,1249.0,14.0,26.0,1685,1714,578,1360,149,437,380,559,291,676,275,462,161,120,476,0.425
2003,1250.0,14.0,1250.0,12.0,26.0,1660,1659,581,1356,137,391,361,495,265,626,312,366,184,79,490,0.4284660766961652
2003,1251.0,14.0,1251.0,15.0,29.0,1900,2016,609,1513,160,530,522,706,335,702,328,527,250,88,584,0.40251156642432256
2003,1252.0,6.0,1252.0,18.0,24.0,1845,1973,588,1355,199,521,470,645,248,640,342,412,97,86,461,0.43394833948339484
2003,1253.0,4.0,1253.0,22.0,26.0,1627,1940,555,1291,150,460,367,518,253,529,306,445,117,68,505,0.42989930286599537
2003,1254.0,9.0,1254.0,19.0,28.0,2102,2268,772,1764,165,535,393,582,415,722,401,484,184,61,586,0.4376417233560091
2003,1256.0,10.0,1256.0,15.0,25.0,1702,1810,606,1436,121,358,369,531,312,600,279,352,135,80,506,0.4220055710306407
2003,1257.0,24.0,1257.0,6.0,30.0,2455,2054,839,1825,253,702,524,753,396,753,498,401,216,142,680,0.45972602739726026
2003,1258.0,11.0,1258.0,19.0,30.0,2111,2209,728,1702,121,395,534,753,359,654,431,482,235,123,669,0.42773207990599293
2003,1259.0,4.0,1259.0,24.0,28.0,1653,2017,543,1377,150,472,417,608,280,618,267,489,155,74,512,0.39433551198257083
2003,1260.0,15.0,1260.0,16.0,31.0,2309,2314,819,1949,197,642,474,652,457,731,367,434,225,124,643,0.4202154951257055
2003,1261.0,21.0,1261.0,10.0,31.0,2270,1950,831,1707,209,545,399,616,329,760,508,430,248,129,507,0.4868189806678383
2003,1263.0,12.0,1263.0,16.0,28.0,1987,1953,744,1555,199,553,300,458,306,737,439,500,202,157,480,0.47845659163987136
2003,1264.0,23.0,1264.0,6.0,29.0,2209,1965,752,1669,160,459,545,693,328,676,402,412,266,113,636,0.4505692031156381
2003,1265.0,13.0,1265.0,16.0,29.0,2069,2150,701,1714,225,610,442,568,318,688,402,390,199,103,488,0.4089848308051342
2003,1266.0,23.0,1266.0,5.0,28.0,2195,1895,762,1575,162,427,509,661,367,674,457,380,168,102,522,0.4838095238095238
2003,1267.0,13.0,1267.0,15.0,28.0,2014,2017,697,1488,176,486,444,574,235,663,386,403,169,103,542,0.46841397849462363
2003,1268.0,19.0,1268.0,9.0,28.0,2262,1872,824,1774,189,475,425,604,385,749,529,395,305,185,532,0.4644870349492672
2003,1269.0,10.0,1269.0,18.0,28.0,1720,1874,623,1450,156,520,318,501,299,601,393,440,169,106,547,0.4296551724137931
2003,1270.0,13.0,1270.0,14.0,27.0,1850,1892,645,1477,187,517,373,546,331,628,345,457,196,110,579,0.43669600541638454
2003,1271.0,5.0,1271.0,23.0,28.0,1760,2000,602,1570,222,651,334,456,352,534,278,426,176,69,593,0.3834394904458599
2003,1272.0,23.0,1272.0,6.0,29.0,2161,1909,762,1740,203,582,434,664,408,753,482,400,214,147,544,0.4379310344827586
2003,1273.0,22.0,1273.0,6.0,28.0,2186,2042,768,1629,188,497,462,666,391,728,459,465,185,119,481,0.4714548802946593
2003,1274.0,11.0,1274.0,17.0,28.0,1956,1924,692,1627,171,513,401,559,370,648,393,463,272,119,559,0.4253226797787339
2003,1275.0,12.0,1275.0,15.0,27.0,1576,1604,539,1286,171,530,327,472,244,541,297,313,159,48,503,0.4191290824261275
2003,1276.0,17.0,1276.0,13.0,30.0,2070,2018,706,1629,188,525,470,635,356,683,365,424,164,104,551,0.43339472068753837
2003,1277.0,19.0,1277.0,12.0,31.0,2084,1890,714,1584,152,415,504,686,331,752,422,451,198,115,621,0.45075757575757575
2003,1278.0,16.0,1278.0,12.0,28.0,2084,2010,722,1660,212,582,428,612,367,695,457,428,206,180,569,0.43493975903614457
2003,1279.0,14.0,1279.0,15.0,29.0,1933,1846,679,1487,182,489,393,541,293,608,388,395,187,58,582,0.4566240753194351
2003,1280.0,21.0,1280.0,9.0,30.0,2105,1805,790,1674,167,486,358,529,380,738,435,469,262,112,477,0.47192353643966545
2003,1281.0,21.0,1281.0,10.0,31.0,2225,2061,811,1835,232,650,371,563,418,803,426,422,177,134,523,0.4419618528610354
2003,1282.0,9.0,1282.0,20.0,29.0,1968,2182,678,1669,272,766,340,522,339,612,349,360,169,78,529,0.40623127621330135
2003,1283.0,17.0,1283.0,12.0,29.0,1931,1782,685,1569,125,350,436,653,365,649,293,391,212,107,584,0.4365838113448056
2003,1284.0,15.0,1284.0,13.0,28.0,1848,1878,629,1472,177,530,413,603,231,702,401,418,221,76,475,0.4273097826086957
2003,1285.0,12.0,1285.0,16.0,28.0,1952,2006,680,1581,219,611,373,529,301,651,341,389,164,117,603,0.43010752688172044
2003,1286.0,9.0,1286.0,16.0,25.0,1575,1637,540,1251,157,443,338,473,216,539,319,352,134,45,405,0.4316546762589928
2003,1287.0,17.0,1287.0,9.0,26.0,2067,1959,743,1499,157,411,424,560,300,569,380,363,193,59,451,0.49566377585056703
2003,1288.0,7.0,1288.0,22.0,29.0,1977,2212,686,1684,174,504,431,664,417,598,308,459,184,57,598,0.40736342042755347
2003,1289.0,4.0,1289.0,20.0,24.0,1446,1807,502,1280,117,418,325,514,270,525,226,422,157,74,436,0.3921875
2003,1290.0,14.0,1290.0,13.0,27.0,2051,2012,731,1834,272,771,317,452,466,574,417,315,244,73,485,0.3985823336968375
2003,1291.0,11.0,1291.0,16.0,27.0,1715,1881,581,1506,179,554,374,537,333,549,315,407,225,82,577,0.3857901726427623
2003,1292.0,14.0,1292.0,14.0,28.0,1913,1911,687,1492,181,499,358,526,293,691,330,452,150,66,571,0.460455764075067
2003,1293.0,15.0,1293.0,12.0,27.0,2021,1878,737,1607,182,547,365,514,365,652,428,370,189,123,476,0.4586185438705663
2003,1296.0,17.0,1296.0,14.0,31.0,2158,2164,755,1645,195,509,453,694,403,702,393,527,236,112,614,0.45896656534954405
2003,1298.0,7.0,1298.0,19.0,26.0,1555,1720,542,1316,150,455,321,490,277,564,321,448,183,66,517,0.41185410334346506
2003,1299.0,1.0,1299.0,25.0,26.0,1582,2097,573,1469,158,475,278,475,315,535,237,445,164,37,487,0.39006126616746084
2003,1301.0,18.0,1301.0,12.0,30.0,2172,2040,730,1600,239,675,473,614,292,661,440,426,233,92,560,0.45625
2003,1304.0,11.0,1304.0,18.0,29.0,1839,1990,665,1668,133,485,376,581,354,755,325,417,182,93,532,0.3986810551558753
2003,1305.0,17.0,1305.0,13.0,30.0,2289,2155,755,1741,181,512,598,839,387,753,346,385,199,113,626,0.43365881677197016
2003,1306.0,5.0,1306.0,23.0,28.0,1834,2168,609,1531,199,606,417,673,327,631,320,454,193,43,574,0.39777922926192033
2003,1307.0,9.0,1307.0,18.0,27.0,1879,2002,621,1494,213,591,424,575,281,577,315,323,154,71,493,0.41566265060240964
2003,1308.0,19.0,1308.0,9.0,28.0,2047,1890,720,1609,163,470,444,602,345,660,349,376,185,113,458,0.44748290863890616
2003,1309.0,13.0,1309.0,14.0,27.0,1877,1895,662,1489,145,364,408,604,363,637,326,447,163,102,468,0.4445936870382807
2003,1310.0,17.0,1310.0,12.0,29.0,2163,2170,756,1632,146,444,505,737,394,664,413,423,220,94,508,0.4632352941176471
2003,1311.0,2.0,1311.0,25.0,27.0,1442,1880,507,1329,142,421,286,430,276,549,261,482,150,22,516,0.38148984198645597
2003,1313.0,14.0,1313.0,15.0,29.0,1826,1884,644,1521,130,426,408,632,340,659,281,497,226,119,548,0.42340565417488496
2003,1314.0,17.0,1314.0,15.0,32.0,2277,2267,809,1890,259,746,400,604,380,738,490,480,261,150,552,0.42804232804232806
2003,1317.0,5.0,1317.0,21.0,26.0,1795,2064,633,1505,149,449,380,535,313,621,333,450,162,97,575,0.4205980066445183
2003,1318.0,14.0,1318.0,15.0,29.0,2093,2101,749,1767,196,616,399,583,383,637,385,442,267,84,643,0.42388228636106395
2003,1319.0,13.0,1319.0,13.0,26.0,1864,1874,671,1475,212,548,310,484,272,648,389,431,132,77,515,0.4549152542372881
2003,1320.0,10.0,1320.0,17.0,27.0,1759,1855,619,1383,210,558,311,458,219,617,376,358,134,47,446,0.4475777295733912
2003,1321.0,12.0,1321.0,17.0,29.0,1816,1905,624,1455,199,631,369,529,277,585,429,373,200,81,513,0.4288659793814433
2003,1322.0,6.0,1322.0,21.0,27.0,1682,1917,603,1533,90,333,386,612,376,606,293,503,215,105,589,0.3933463796477495
2003,1323.0,22.0,1323.0,9.0,31.0,2483,2207,844,1881,257,675,538,708,353,833,524,396,231,175,503,0.44869750132908026
2003,1324.0,15.0,1324.0,11.0,26.0,2012,1943,692,1527,171,510,457,662,327,613,357,364,197,85,482,0.4531761624099542
2003,1325.0,14.0,1325.0,16.0,30.0,2139,2240,722,1588,186,513,509,747,304,701,426,457,189,76,572,0.45465994962216627
2003,1326.0,17.0,1326.0,14.0,31.0,1997,1998,663,1615,151,441,520,733,359,713,360,430,162,60,566,0.4105263157894737
2003,1328.0,24.0,1328.0,6.0,30.0,2135,1805,758,1696,224,569,395,558,364,749,425,354,208,113,558,0.44693396226415094
2003,1329.0,20.0,1329.0,9.0,29.0,1993,1804,715,1607,141,376,422,648,359,698,355,425,255,162,584,0.44492843808338517
2003,1330.0,12.0,1330.0,15.0,27.0,1799,1744,627,1559,158,495,387,551,377,644,384,359,223,75,495,0.4021808851828095
2003,1331.0,17.0,1331.0,10.0,27.0,2057,1899,673,1525,206,557,505,677,324,685,415,389,143,123,532,0.44131147540983606
2003,1332.0,23.0,1332.0,9.0,32.0,2631,2367,915,1984,288,736,513,661,364,784,559,487,257,89,670,0.46118951612903225
2003,1333.0,12.0,1333.0,15.0,27.0,1822,1876,641,1537,122,408,418,611,304,667,361,367,143,95,447,0.41704619388418995
